%time,field.header.seq,field.header.stamp,field.header.frame_id,field.left_front,field.right_front,field.left_rear,field.right_rear
1575033823430946460,0,3131843069000,vehicle_info_wheel_speed_pulse,51981,52049,60160,60411
1575033823470171971,1,3131863989000,vehicle_info_wheel_speed_pulse,51981,52049,60160,60411
1575033823499842711,2,3131883884000,vehicle_info_wheel_speed_pulse,51981,52049,60160,60411
1575033823528815347,3,3131903565000,vehicle_info_wheel_speed_pulse,51981,52049,60160,60411
1575033823564598068,4,3131923911000,vehicle_info_wheel_speed_pulse,51981,52049,60160,60411
1575033823596753439,5,3131942981000,vehicle_info_wheel_speed_pulse,51981,52049,60160,60411
1575033823631035544,6,3131964903000,vehicle_info_wheel_speed_pulse,51981,52049,60160,60411
1575033823657473517,7,3131983098000,vehicle_info_wheel_speed_pulse,51981,52049,60160,60411
1575033823687153244,8,3132003921000,vehicle_info_wheel_speed_pulse,51981,52049,60160,60411
1575033823723394433,9,3132023624000,vehicle_info_wheel_speed_pulse,51981,52049,60160,60411
1575033823765342357,10,3132044008000,vehicle_info_wheel_speed_pulse,51981,52049,60160,60411
1575033823801296228,11,3132064169000,vehicle_info_wheel_speed_pulse,51981,52049,60160,60411
1575033823831375470,12,3132083544000,vehicle_info_wheel_speed_pulse,51981,52049,60160,60411
1575033823868113000,13,3132103657000,vehicle_info_wheel_speed_pulse,51981,52049,60160,60411
1575033823909033915,14,3132124618000,vehicle_info_wheel_speed_pulse,51981,52049,60160,60411
1575033823948377213,15,3132143838000,vehicle_info_wheel_speed_pulse,51981,52049,60160,60411
1575033823980603712,16,3132163606000,vehicle_info_wheel_speed_pulse,51981,52049,60160,60411
1575033824010796673,17,3132183672000,vehicle_info_wheel_speed_pulse,51981,52049,60160,60411
1575033824046397692,18,3132203997000,vehicle_info_wheel_speed_pulse,51981,52049,60160,60411
1575033824081061748,19,3132223713000,vehicle_info_wheel_speed_pulse,51981,52049,60160,60411
1575033824118040155,20,3132244155000,vehicle_info_wheel_speed_pulse,51981,52049,60160,60411
